"company","ceo","net_worth","age"
"Twitter","Parag Agarwal",21000000,37
"Intel","Patrick p. Gelsinger",76200000,61
"Cisco","Chuck Robbins",124000000,55
"Tumblr","David Karp",200000000,35
"LinkedIn","Jeff Weiner",200000000,52
"TikTok","Shou Zi Chew",200000000,39
"Netflix","Ted Sarandos",250000000,57
"Microsoft","Satya Nadella",350000000,54
"Amazon","Andy Jassy",417000000,54
"Google","Sundar Pichai",600000000,49
"Yahoo","Marissa Mayer",600000000,46
"Youtube","Susan Wojcicki",815000000,53
"Slack","Stewart Butterfield",1400000000,49
"Pinterest","Ben Silbermann",1600000000,40
"Instagram","Kevin Systrom",1700000000,38
"Apple","Tim Cook",2100000000,61
"Salesforce","Marc Benioff",8500000000,57
"Airbnb","Brian Chesky",12900000000,40
"Ebay","Jamie Iannone",12900000000,51
"Facebook","Mark Zuckerberg",77300000000,37